instruction,opcode_name,opcode_value,type_encodage,funct3,funct7,funct1
BEQ,BRANCH,1100011,SB,000
BNE,BRANCH,1100011,SB,001
BLT,BRANCH,1100011,SB,100
BGE,BRANCH,1100011,SB,101
BLTU,BRANCH,1100011,SB,110
BGEU,BRANCH,1100011,SB,111
LB,LOAD,0000011,I,000
LH,LOAD,0000011,I,001
LW,LOAD,0000011,I,010
LBU,LOAD,0000011,I,100
LHU,LOAD,0000011,I,101
FENCE,MISC-MEM,0001111,I,000
ADDI,OP-IMM,0010011,I,000
SLTI,OP-IMM,0010011,I,010
SLTIU,OP-IMM,0010011,I,011
XORI,OP-IMM,0010011,I,100
ORI,OP-IMM,0010011,I,110
ANDI,OP-IMM,0010011,I,111
SLLI,OP-IMM,0010011,I,001
SRLI,OP-IMM,0010011,I,101,0000000
SRAI,OP-IMM,0010011,I,101,0100000
JALR,JALR,1100111,I
ECALL,SYSTEM,1110011,I,000,000000000000
EBREAK,SYSTEM,1110011,I,000,000000000001
JAL,JAL,1101111,UJ
ADD,OP,0110011,R,000,0000000
SUB,OP,0110011,R,000,0100000
SLL,OP,0110011,R,001
SLT,OP,0110011,R,010
SLTU,OP,0110011,R,011
XOR,OP,0110011,R,100
SRL,OP,0110011,R,101,0000000
SRA,OP,0110011,R,101,0100000
OR,OP,0110011,R,110
AND,OP,0110011,R,111
SB,STORE,0100011,S,000
SH,STORE,0100011,S,001
SW,STORE,0100011,S,010
AUIPC,AUIPC,0010111,U
LUI,LUI,0110111,U
